
Sun Feb 26 13:53:35 2023


cell 103 : - Area : 188 pixels - Perimeter : 45 pixels - Height : 17 pixels - Width : 15 pixels. Shape : ('oblong', [3, 17, 0, 67, 17]).
cell 104 : - Area : 350 pixels - Perimeter : 100 pixels - Height : 30 pixels - Width : 19 pixels. Shape : ('square', [3, 18, 0, 67, 17]).
cell 105 : - Area : 127 pixels - Perimeter : 35 pixels - Height : 13 pixels - Width : 12 pixels. Shape : ('oblong', [3, 18, 0, 68, 17]).
cell 106 : - Area : 189 pixels - Perimeter : 47 pixels - Height : 14 pixels - Width : 15 pixels. Shape : ('rectangle', [3, 18, 0, 68, 18]).
cell 107 : - Area : 25 pixels - Perimeter : 16 pixels - Height : 5 pixels - Width : 5 pixels. Shape : ('square', [3, 19, 0, 68, 18]).
cell 108 : - Area : 351 pixels - Perimeter : 67 pixels - Height : 24 pixels - Width : 18 pixels. Shape : ('oblong', [3, 19, 0, 69, 18]).
cell 109 : - Area : 25 pixels - Perimeter : 16 pixels - Height : 5 pixels - Width : 5 pixels. Shape : ('square', [3, 20, 0, 69, 18]).
cell 110 : - Area : 63 pixels - Perimeter : 25 pixels - Height : 9 pixels - Width : 8 pixels. Shape : ('square', [3, 21, 0, 69, 18]).
cell 111 : - Area : 336 pixels - Perimeter : 61 pixels - Height : 25 pixels - Width : 18 pixels. Shape : ('square', [3, 22, 0, 69, 18]).
cell 112 : - Area : 66 pixels - Perimeter : 26 pixels - Height : 8 pixels - Width : 9 pixels. Shape : ('rectangle', [3, 22, 0, 69, 19]).
cell 113 : - Area : 322 pixels - Perimeter : 64 pixels - Height : 26 pixels - Width : 17 pixels. Shape : ('oblong', [3, 22, 0, 70, 19]).
cell 114 : - Area : 593 pixels - Perimeter : 90 pixels - Height : 28 pixels - Width : 27 pixels. Shape : ('oblong', [3, 22, 0, 71, 19]).
cell 115 : - Area : 501 pixels - Perimeter : 75 pixels - Height : 22 pixels - Width : 27 pixels. Shape : ('oblong', [3, 22, 0, 72, 19]).
cell 116 : - Area : 313 pixels - Perimeter : 64 pixels - Height : 16 pixels - Width : 23 pixels. Shape : ('oblong', [3, 22, 0, 73, 19]).
cell 117 : - Area : 370 pixels - Perimeter : 70 pixels - Height : 15 pixels - Width : 28 pixels. Shape : ('oblong', [3, 22, 0, 74, 19]).
cell 118 : - Area : 387 pixels - Perimeter : 71 pixels - Height : 23 pixels - Width : 25 pixels. Shape : ('oblong', [3, 22, 0, 75, 19]).
cell 119 : - Area : 369 pixels - Perimeter : 66 pixels - Height : 25 pixels - Width : 22 pixels. Shape : ('oblong', [3, 22, 0, 76, 19]).
cell 120 : - Area : 103 pixels - Perimeter : 37 pixels - Height : 12 pixels - Width : 12 pixels. Shape : ('oblong', [3, 22, 0, 77, 19]).
cell 121 : - Area : 527 pixels - Perimeter : 86 pixels - Height : 25 pixels - Width : 25 pixels. Shape : ('oblong', [3, 22, 0, 78, 19]).
cell 122 : - Area : 506 pixels - Perimeter : 80 pixels - Height : 24 pixels - Width : 27 pixels. Shape : ('oblong', [3, 22, 0, 79, 19]).
cell 123 : - Area : 963 pixels - Perimeter : 134 pixels - Height : 58 pixels - Width : 23 pixels. Shape : ('oblong', [3, 22, 0, 80, 19]).
cell 124 : - Area : 619 pixels - Perimeter : 94 pixels - Height : 34 pixels - Width : 24 pixels. Shape : ('oblong', [3, 22, 0, 81, 19]).
cell 125 : - Area : 182 pixels - Perimeter : 48 pixels - Height : 14 pixels - Width : 17 pixels. Shape : ('oblong', [3, 22, 0, 82, 19]).
cell 126 : - Area : 25 pixels - Perimeter : 16 pixels - Height : 5 pixels - Width : 5 pixels. Shape : ('square', [3, 23, 0, 82, 19]).
cell 127 : - Area : 2224 pixels - Perimeter : 289 pixels - Height : 68 pixels - Width : 44 pixels. Shape : ('oblong', [3, 23, 0, 83, 19]).
cell 128 : - Area : 64 pixels - Perimeter : 27 pixels - Height : 7 pixels - Width : 10 pixels. Shape : ('rectangle', [3, 23, 0, 83, 20]).
cell 129 : - Area : 663 pixels - Perimeter : 108 pixels - Height : 27 pixels - Width : 32 pixels. Shape : ('oblong', [3, 23, 0, 84, 20]).
cell 130 : - Area : 35 pixels - Perimeter : 20 pixels - Height : 7 pixels - Width : 5 pixels. Shape : ('rectangle', [3, 23, 0, 84, 21]).
cell 131 : - Area : 91 pixels - Perimeter : 33 pixels - Height : 13 pixels - Width : 8 pixels. Shape : ('oblong', [3, 23, 0, 85, 21]).
cell 132 : - Area : 90 pixels - Perimeter : 31 pixels - Height : 10 pixels - Width : 10 pixels. Shape : ('square', [3, 24, 0, 85, 21]).
cell 133 : - Area : 239 pixels - Perimeter : 72 pixels - Height : 23 pixels - Width : 14 pixels. Shape : ('oblong', [3, 24, 0, 86, 21]).
cell 134 : - Area : 161 pixels - Perimeter : 44 pixels - Height : 16 pixels - Width : 11 pixels. Shape : ('rectangle', [3, 24, 0, 86, 22]).
cell 135 : - Area : 165 pixels - Perimeter : 44 pixels - Height : 15 pixels - Width : 14 pixels. Shape : ('oblong', [3, 24, 0, 87, 22]).
cell 136 : - Area : 227 pixels - Perimeter : 55 pixels - Height : 24 pixels - Width : 13 pixels. Shape : ('oblong', [3, 24, 0, 88, 22]).
cell 137 : - Area : 88 pixels - Perimeter : 32 pixels - Height : 13 pixels - Width : 8 pixels. Shape : ('oblong', [3, 24, 0, 89, 22]).
cell 138 : - Area : 75 pixels - Perimeter : 29 pixels - Height : 11 pixels - Width : 8 pixels. Shape : ('oblong', [3, 24, 0, 90, 22]).
cell 139 : - Area : 509 pixels - Perimeter : 76 pixels - Height : 30 pixels - Width : 24 pixels. Shape : ('oblong', [3, 24, 0, 91, 22]).
cell 140 : - Area : 30 pixels - Perimeter : 18 pixels - Height : 6 pixels - Width : 5 pixels. Shape : ('rectangle', [3, 24, 0, 91, 23]).
cell 141 : - Area : 320 pixels - Perimeter : 73 pixels - Height : 26 pixels - Width : 18 pixels. Shape : ('square', [3, 25, 0, 91, 23]).
cell 142 : - Area : 289 pixels - Perimeter : 64 pixels - Height : 16 pixels - Width : 24 pixels. Shape : ('oblong', [3, 25, 0, 92, 23]).
cell 143 : - Area : 328 pixels - Perimeter : 87 pixels - Height : 36 pixels - Width : 16 pixels. Shape : ('triangle', [4, 25, 0, 92, 23]).
cell 144 : - Area : 1107 pixels - Perimeter : 160 pixels - Height : 37 pixels - Width : 39 pixels. Shape : ('oblong', [4, 25, 0, 93, 23]).
cell 145 : - Area : 336 pixels - Perimeter : 71 pixels - Height : 22 pixels - Width : 19 pixels. Shape : ('oblong', [4, 25, 0, 94, 23]).
cell 146 : - Area : 860 pixels - Perimeter : 124 pixels - Height : 40 pixels - Width : 35 pixels. Shape : ('triangle', [5, 25, 0, 94, 23]).
cell 147 : - Area : 571 pixels - Perimeter : 100 pixels - Height : 30 pixels - Width : 20 pixels. Shape : ('rectangle', [5, 25, 0, 94, 24]).
cell 148 : - Area : 373 pixels - Perimeter : 69 pixels - Height : 25 pixels - Width : 19 pixels. Shape : ('oblong', [5, 25, 0, 95, 24]).
cell 149 : - Area : 115 pixels - Perimeter : 40 pixels - Height : 17 pixels - Width : 8 pixels. Shape : ('oblong', [5, 25, 0, 96, 24]).
cell 150 : - Area : 1038 pixels - Perimeter : 136 pixels - Height : 40 pixels - Width : 36 pixels. Shape : ('oblong', [5, 25, 0, 97, 24]).
cell 151 : - Area : 55 pixels - Perimeter : 25 pixels - Height : 7 pixels - Width : 9 pixels. Shape : ('oblong', [5, 25, 0, 98, 24]).
cell 152 : - Area : 280 pixels - Perimeter : 66 pixels - Height : 24 pixels - Width : 16 pixels. Shape : ('oblong', [5, 25, 0, 99, 24]).
cell 153 : - Area : 131 pixels - Perimeter : 39 pixels - Height : 12 pixels - Width : 12 pixels. Shape : ('square', [5, 26, 0, 99, 24]).
cell 154 : - Area : 197 pixels - Perimeter : 48 pixels - Height : 17 pixels - Width : 14 pixels. Shape : ('square', [5, 27, 0, 99, 24]).
cell 155 : - Area : 509 pixels - Perimeter : 75 pixels - Height : 28 pixels - Width : 25 pixels. Shape : ('oblong', [5, 27, 0, 100, 24]).
cell 156 : - Area : 781 pixels - Perimeter : 155 pixels - Height : 26 pixels - Width : 42 pixels. Shape : ('oblong', [5, 27, 0, 101, 24]).
cell 157 : - Area : 339 pixels - Perimeter : 71 pixels - Height : 15 pixels - Width : 27 pixels. Shape : ('oblong', [5, 27, 0, 102, 24]).
cell 158 : - Area : 341 pixels - Perimeter : 67 pixels - Height : 26 pixels - Width : 17 pixels. Shape : ('oblong', [5, 27, 0, 103, 24]).
cell 159 : - Area : 855 pixels - Perimeter : 129 pixels - Height : 52 pixels - Width : 24 pixels. Shape : ('oblong', [5, 27, 0, 104, 24]).
cell 160 : - Area : 1040 pixels - Perimeter : 128 pixels - Height : 49 pixels - Width : 30 pixels. Shape : ('oblong', [5, 27, 0, 105, 24]).
cell 161 : - Area : 59 pixels - Perimeter : 25 pixels - Height : 9 pixels - Width : 7 pixels. Shape : ('rectangle', [5, 27, 0, 105, 25]).
cell 162 : - Area : 264 pixels - Perimeter : 54 pixels - Height : 16 pixels - Width : 20 pixels. Shape : ('oblong', [5, 27, 0, 106, 25]).
cell 163 : - Area : 193 pixels - Perimeter : 48 pixels - Height : 13 pixels - Width : 18 pixels. Shape : ('oblong', [5, 27, 0, 107, 25]).
cell 164 : - Area : 603 pixels - Perimeter : 84 pixels - Height : 31 pixels - Width : 23 pixels. Shape : ('oblong', [5, 27, 0, 108, 25]).
cell 165 : - Area : 691 pixels - Perimeter : 98 pixels - Height : 32 pixels - Width : 31 pixels. Shape : ('oblong', [5, 27, 0, 109, 25]).
cell 166 : - Area : 454 pixels - Perimeter : 80 pixels - Height : 32 pixels - Width : 17 pixels. Shape : ('oblong', [5, 27, 0, 110, 25]).
cell 167 : - Area : 30 pixels - Perimeter : 18 pixels - Height : 5 pixels - Width : 6 pixels. Shape : ('rectangle', [5, 27, 0, 110, 26]).
cell 168 : - Area : 175 pixels - Perimeter : 46 pixels - Height : 14 pixels - Width : 14 pixels. Shape : ('square', [5, 28, 0, 110, 26]).
cell 169 : - Area : 415 pixels - Perimeter : 80 pixels - Height : 23 pixels - Width : 26 pixels. Shape : ('oblong', [5, 28, 0, 111, 26]).
cell 170 : - Area : 55 pixels - Perimeter : 23 pixels - Height : 8 pixels - Width : 8 pixels. Shape : ('oblong', [5, 28, 0, 112, 26]).
cell 171 : - Area : 170 pixels - Perimeter : 64 pixels - Height : 28 pixels - Width : 8 pixels. Shape : ('oblong', [5, 28, 0, 113, 26]).
cell 172 : - Area : 140 pixels - Perimeter : 41 pixels - Height : 15 pixels - Width : 11 pixels. Shape : ('oblong', [5, 28, 0, 114, 26]).
cell 173 : - Area : 327 pixels - Perimeter : 58 pixels - Height : 20 pixels - Width : 20 pixels. Shape : ('oblong', [5, 28, 0, 115, 26]).
cell 174 : - Area : 124 pixels - Perimeter : 37 pixels - Height : 14 pixels - Width : 10 pixels. Shape : ('oblong', [5, 28, 0, 116, 26]).
cell 175 : - Area : 57 pixels - Perimeter : 25 pixels - Height : 9 pixels - Width : 7 pixels. Shape : ('rectangle', [5, 28, 0, 116, 27]).
cell 176 : - Area : 643 pixels - Perimeter : 155 pixels - Height : 20 pixels - Width : 38 pixels. Shape : ('oblong', [5, 28, 0, 117, 27]).
cell 177 : - Area : 499 pixels - Perimeter : 99 pixels - Height : 34 pixels - Width : 21 pixels. Shape : ('square', [5, 29, 0, 117, 27]).
cell 178 : - Area : 124 pixels - Perimeter : 41 pixels - Height : 9 pixels - Width : 15 pixels. Shape : ('rectangle', [5, 29, 0, 117, 28]).
cell 179 : - Area : 633 pixels - Perimeter : 128 pixels - Height : 44 pixels - Width : 24 pixels. Shape : ('square', [5, 30, 0, 117, 28]).
cell 180 : - Area : 150 pixels - Perimeter : 40 pixels - Height : 15 pixels - Width : 12 pixels. Shape : ('square', [5, 31, 0, 117, 28]).
